lmfdb_index|coeffs|monogenic
1|27,-12,-18,-1|1
1|3,-18,-14,0|-1
1|36,24,-23,-2|1
1|229,23,-32,-1|-1
1|4,12,-10,-1|1
1|3,18,-17,-2|-1
1|17,5,-10,-1|-1
1|11,-4,-12,0|1
1|8,-3,-11,-2|1
1|1,-6,-14,0|-1
1|244,0,-34,0|-1
1|236,32,-31,-2|-1
1|-1,16,-10,-1|1
1|9,-7,-15,0|1
1|3,2,-7,-2|1
1|7,11,-10,-1|1
1|5,11,-9,-1|1
1|8,5,-9,-1|-1
1|25,3,-11,-1|1
1|33,-6,-15,0|1
1|1,4,-8,-1|1
1|8,4,-9,-1|-1
1|4,-4,-14,-2|-1
1|236,6,-33,-1|-1
1|-5,16,-10,-1|1
1|22,1,-15,-1|1
1|239,31,-30,-2|1
1|13,5,-12,-2|-1
1|2,-2,-8,0|1
1|92,20,-19,-2|-1
1|86,0,-19,0|-1
1|-2,-11,-11,0|1
1|241,33,-32,-2|1
1|2,0,-8,-1|1
1|11,3,-8,-1|1
1|89,6,-23,-2|-1
1|239,13,-32,-1|-1
1|2,-1,-8,0|1
1|241,4,-34,-1|-1
1|236,26,-33,-1|-1
1|9,-2,-13,-2|1
1|98,0,-28,0|1
2|2,0,-8,0|1
1|251,0,-32,0|-1
1|239,18,-32,-1|-1
1|3,-8,-15,0|-1
1|-1,8,-8,-2|1
1|-4,17,-10,-1|1
1|18,15,-14,-2|-1
1|23,19,-15,-1|-1
1|1,-2,-9,0|1
1|1,-4,-10,-2|1
1|244,34,-33,-2|-1
1|244,2,-35,-1|-1
1|4,7,-6,-2|1
1|10,2,-8,-1|1
1|5,11,-12,-1|-1
1|10,-4,-9,0|1
1|245,35,-34,-2|-1
1|1,3,-12,-1|-1
1|16,-6,-14,0|1
1|-4,-17,-12,0|1
1|7,0,-8,-1|1
1|13,1,-10,-1|-1
1|3,6,-6,-2|1
1|19,12,-11,-2|-1
1|2,0,-11,0|-1
1|94,24,-23,-2|-1
1|2,7,-6,-2|1
1|241,29,-34,-1|-1
1|89,-16,-24,0|-1
1|10,22,-15,-1|-1
1|2,-4,-9,-1|1
