lmfdb_index|coeffs|monogenic
1|-15,11,12,-9,-1|1
1|-2,2,8,-9,-1|1
1|-2,7,2,-8,-2|1
1|-3,16,18,-11,-2|0
1|-2,8,-2,-8,0|1
1|30,30,-8,-12,0|1
1|-8,3,17,-8,-2|1
1|-2,17,1,-11,-1|0
1|-3,9,5,-7,-2|1
1|-3,12,-3,-9,0|1
1|-9,8,10,-8,-1|1
1|-4,-1,13,-6,-2|1
1|-26,22,11,-10,-1|1
1|2,9,-1,-7,0|1
1|-13,12,11,-7,-2|1
1|1,9,-1,-7,0|1
1|2,4,-6,-8,0|1
1|-2,3,6,-7,-2|1
1|-24,19,12,-10,-1|1
1|-3,6,8,-9,-2|0
1|-1,-1,11,-8,-1|1
1|-3,8,3,-8,-2|1
1|-6,27,-2,-12,0|0
